Stations_id,Datenquelle,Jan.,Feb.,M�rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
2907,46,1,       1.1,       3.3,       6.4,      11.1,      14.1,      16.1,16,      12.7,9,       4.9,       2.4,       8.2
2912,46,       1.1,       1.1,       3.4,       6.5,      11.1,      14.3,      16.3,      16.4,13,       9.2,5,       2.5,       8.3
2915,46,      -2.5,      -1.9,       1.5,5,      10.2,      13.2,15,      14.8,      11.1,       6.5,       1.3,      -1.2,       6.1
2920,46,      -1.6,       -.4,       4.1,       7.9,      13.3,      15.8,      17.7,      17.5,      13.3,       8.1,       2.9,0,       8.2
2923,46,-1,       -.2,       3.4,       6.6,      11.8,      14.6,      16.9,      16.6,      12.8,       8.1,       2.6,        .1,       7.7
2925,51,       -.5,       -.1,       3.4,       6.9,      11.8,      14.4,      16.5,      16.6,      12.8,       8.3,       3.4,        .8,       7.8
2928,51,        .6,       1.2,       4.8,       8.6,      13.7,      16.6,      18.7,      18.4,      14.3,       9.6,       4.5,2,       9.4
2931,46,        .6,       1.2,       4.8,       8.4,      13.6,      16.4,      18.5,      18.4,      14.3,       9.5,       4.6,       1.9,       9.4
2932,51,        .5,        .8,       4.5,       8.1,      13.3,      16.2,      18.4,      18.3,      14.2,       9.3,       4.3,       1.5,       9.1
2947,51,        .8,       1.1,       4.1,       6.9,      11.9,      14.7,      16.6,      16.1,      12.4,       8.5,       4.1,2,       8.2
2949,51,       -.5,        .1,       3.3,       6.4,      11.2,      13.9,      16.3,      16.2,      12.6,       8.2,3,        .8,       7.6
2950,51,        .9,       1.2,       3.6,       6.9,      11.7,15,      17.1,      16.9,      13.4,       9.2,5,       2.4,       8.6
2951,46,        .6,       1.1,       4.2,       7.9,      13.1,      15.9,      17.9,      17.6,      13.6,       9.1,       4.6,2,9
2953,51,      -1.1,       -.5,       1.9,       4.8,       9.7,      12.8,      15.1,      14.5,      11.2,       7.1,       2.1,       -.1,       6.4
2963,46,        .9,       1.5,       5.1,       8.8,      13.9,      16.7,      18.9,      18.7,      14.6,       9.7,       4.8,       2.2,       9.6
2968,51,       3.3,       3.9,       7.1,      10.1,      14.6,      17.3,      19.4,      19.2,      15.3,      11.1,       6.6,       4.5,11
2985,46,       -.7,0,       3.6,       7.3,      12.6,      15.4,      17.5,      17.3,      13.2,       8.5,       3.4,        .7,       8.2
2996,46,        .2,        .6,       3.9,       6.8,      11.5,      14.4,      16.7,      16.3,      12.7,       8.4,       3.5,       1.4,8
3001,46,1,2,       5.6,       8.9,      13.4,      16.3,      18.4,      17.8,      14.1,       9.4,       4.5,       2.2,       9.5
3004,51,1,       1.6,       5.5,       8.6,      13.4,      16.2,      18.4,      17.9,      13.9,       9.2,       4.7,       2.2,       9.4
3007,46,2,       2.9,       6.7,       9.9,      14.7,      17.6,      19.8,      19.3,      15.3,      10.3,       5.4,       3.1,      10.6
